id_kos,nama_kos,kota,wilayah,harga_per_bulan,tipe_kos,ukuran_kamar,ac,kamar_mandi_dalam,wifi,listrik_include,parkir,dapur,laundry,security_24jam,jarak_ke_kampus_km,kampus_terdekat,jarak_ke_transportasi_km,rating,jumlah_kamar,jumlah_review,deskripsi_promosi,ulasan_penghuni,foto_path,latitude,longitude
KOS-0001,Kos Kebayoran Baru 1,Jakarta Selatan,Kebayoran Baru,2350000,Putri,9,1,1,1,0,0,0,1,1,9.7,Binus,4.2,3.8,16,26,"Kos eksklusif putri area Kebayoran Baru! Fasilitas lengkap: AC, kamar mandi dalam, WiFi, laundry, dan security 24 jam. Kamar 9m² dengan pencahayaan dan ventilasi optimal. Akses mudah ke pusat bisnis Jakarta Selatan. Penjaga aktif 24 jam, CCTV terpasang di area umum. Hanya 9.7 km ke kampus terdekat. Daftar sekarang!","Lumayan sesuai harga yang dibayar. WiFi kencang dan stabil. AC dingin, tidak berisik. Respons pemilik kadang agak lambat, tapi fasilitas tetap terjaga.",assets/kos_photos/kos_0001.jpg,-6.253882,106.7846
KOS-0002,Kos Pesanggrahan 2,Jakarta Selatan,Pesanggrahan,2250000,Putri,12,0,1,0,0,1,0,1,0,0.9,Binus,3.1,4.9,18,13,"Hunian nyaman di jantung Jakarta Selatan. Kos putri dengan kamar mandi dalam, parkir, dan laundry. Ukuran kamar 12m², cukup untuk bekerja dan beristirahat. Bebas banjir, akses 24 jam. Jarak ke transportasi umum hanya 3.1 km. Cocok untuk profesional muda yang aktif.","Baru 18 minggu tapi sudah betah banget. Kamar mandi pribadi sangat nyaman. Air bersih dan lancar, listrik stabil, tidak pernah mati. Harga sepadan.",assets/kos_photos/kos_0002.jpg,-6.310276,106.778046
KOS-0003,Kos Setiabudi 3,Jakarta Selatan,Setiabudi,2250000,Putri,12,0,1,1,0,1,0,1,0,5.4,Binus,2.8,4.7,6,194,"Kos bersih dan terawat di Setiabudi, Jakarta Selatan. Kamar putri berukuran 12m² tersedia dengan fasilitas kamar mandi dalam, WiFi, parkir, dan laundry. Pengelolaan profesional, kontrak fleksibel per bulan. Jarak 5.4 km dari kampus, 2.8 km dari halte atau stasiun. Survei gratis, hubungi pemilik sekarang!","Kos paling nyaman selama kuliah di Jakarta. WiFi kencang dan stabil. Kamar mandi pribadi sangat nyaman. Lingkungan bersih dan aman, tidak pernah ada masalah keamanan. Sangat recommended untuk mahasiswa baru!",assets/kos_photos/kos_0003.jpg,-6.269406,106.81018
KOS-0004,Kos Kebayoran Baru 4,Jakarta Selatan,Kebayoran Baru,2150000,Campur,12,1,1,0,0,0,0,0,0,3.2,UI Depok,2.8,3.6,11,92,"Tersedia kamar kos campur di kawasan Kebayoran Baru, Jakarta Selatan. Luas kamar 12m², fasilitas: AC dan kamar mandi dalam. Dekat kampus (3.2 km) dan transportasi umum (2.8 km). Lingkungan tenang, pemilik kos ramah dan responsif. Harga sudah mencakup biaya perawatan fasilitas bersama. Ideal untuk pelajar yang baru merantau.","Oke secara keseluruhan. AC dingin, tidak berisik. Kamar mandi pribadi sangat nyaman. Ada plus minusnya, tapi tidak mengecewakan. Lumayan untuk jangka panjang.",assets/kos_photos/kos_0004.jpg,-6.242055,106.812251
KOS-0005,Kos Pancoran 5,Jakarta Selatan,Pancoran,1900000,Putra,18,0,0,1,1,1,1,0,0,6.4,Universitas Pancasila,1.8,4.0,7,108,"Kos putra strategis di Pancoran, Jakarta Selatan. Kamar 18m² dilengkapi WiFi, listrik termasuk, parkir, dan dapur bersama. Lokasi hanya 6.4 km dari kampus dan 1.8 km dari moda transportasi umum. Suasana bersih, aman, dan nyaman. Cocok untuk mahasiswa maupun pekerja muda yang menginginkan hunian berkualitas dengan harga terjangkau.","Kos paling nyaman selama kuliah di Jakarta. WiFi kencang dan stabil. Lingkungan bersih dan aman, tidak pernah ada masalah keamanan. Sangat recommended untuk mahasiswa baru!",assets/kos_photos/kos_0005.jpg,-6.249812,106.789118
KOS-0006,Kos Cilandak 6,Jakarta Selatan,Cilandak,2900000,Putri,12,1,1,0,1,1,0,1,1,0.7,Binus,0.7,4.0,8,155,"Kos putri strategis di Cilandak, Jakarta Selatan. Kamar 12m² dilengkapi AC, kamar mandi dalam, listrik termasuk, parkir, laundry, dan security 24 jam. Lokasi hanya 0.7 km dari kampus dan 0.7 km dari moda transportasi umum. Suasana bersih, aman, dan nyaman. Cocok untuk mahasiswa maupun pekerja muda yang menginginkan hunian berkualitas dengan harga terjangkau.","Sudah 18 bulan di sini, sangat puas! Kamar bersih dan wangi. AC dingin, tidak berisik. Kamar mandi pribadi sangat nyaman. Pemilik kos sigap menangani keluhan. Sangat direkomendasikan!",assets/kos_photos/kos_0006.jpg,-6.239539,106.809352
KOS-0007,Kos Jagakarsa 7,Jakarta Selatan,Jagakarsa,3300000,Putri,18,1,1,1,0,0,0,1,1,8.1,Atmajaya,1.1,4.7,29,194,"Kos eksklusif putri area Jagakarsa! Fasilitas lengkap: AC, kamar mandi dalam, WiFi, laundry, dan security 24 jam. Kamar 18m² dengan pencahayaan dan ventilasi optimal. Akses mudah ke pusat bisnis Jakarta Selatan. Penjaga aktif 24 jam, CCTV terpasang di area umum. Hanya 8.1 km ke kampus terdekat. Daftar sekarang!","Sudah 12 tahun tinggal di sini dan tidak mau pindah. WiFi kencang dan stabil. AC dingin, tidak berisik. Lingkungan aman dan nyaman, penghuni dipilih secara selektif.",assets/kos_photos/kos_0007.jpg,-6.278523,106.841164
KOS-0008,Kos Pancoran 8,Jakarta Selatan,Pancoran,2350000,Putri,9,0,1,0,0,1,0,0,1,2.8,Binus,1.0,4.1,21,56,"Hunian nyaman di jantung Jakarta Selatan. Kos putri dengan kamar mandi dalam, parkir, dan security 24 jam. Ukuran kamar 9m², cukup untuk bekerja dan beristirahat. Bebas banjir, akses 24 jam. Jarak ke transportasi umum hanya 1.0 km. Cocok untuk profesional muda yang aktif.","Kos paling nyaman selama kuliah di Jakarta. Kamar mandi pribadi sangat nyaman. Keamanan 24 jam membuat tenang. Lingkungan bersih dan aman, tidak pernah ada masalah keamanan. Sangat recommended untuk mahasiswa baru!",assets/kos_photos/kos_0008.jpg,-6.270303,106.823908
KOS-0009,Kos Jagakarsa 9,Jakarta Selatan,Jagakarsa,2950000,Campur,9,1,0,1,0,1,0,0,0,1.9,Universitas Pancasila,2.5,4.5,15,127,"Kos bersih dan terawat di Jagakarsa, Jakarta Selatan. Kamar campur berukuran 9m² tersedia dengan fasilitas AC, WiFi, dan parkir. Pengelolaan profesional, kontrak fleksibel per bulan. Jarak 1.9 km dari kampus, 2.5 km dari halte atau stasiun. Survei gratis, hubungi pemilik sekarang!","Baru 6 minggu tapi sudah betah banget. WiFi kencang dan stabil. AC dingin, tidak berisik. Air bersih dan lancar, listrik stabil, tidak pernah mati. Harga sepadan.",assets/kos_photos/kos_0009.jpg,-6.251182,106.821371
KOS-0010,Kos Pancoran 10,Jakarta Selatan,Pancoran,1900000,Putra,9,1,0,1,1,1,0,1,0,6.1,Universitas Pancasila,3.5,3.8,11,165,"Kos bersih dan terawat di Pancoran, Jakarta Selatan. Kamar putra berukuran 9m² tersedia dengan fasilitas AC, WiFi, listrik termasuk, parkir, dan laundry. Pengelolaan profesional, kontrak fleksibel per bulan. Jarak 6.1 km dari kampus, 3.5 km dari halte atau stasiun. Survei gratis, hubungi pemilik sekarang!","Cukup nyaman untuk kebutuhan sehari-hari. WiFi kencang dan stabil. AC dingin, tidak berisik. Harga standar untuk area sini. Cocok untuk yang budget terbatas.",assets/kos_photos/kos_0010.jpg,-6.274306,106.790256
