id_kos,nama_kos,kota,wilayah,harga_per_bulan,tipe_kos,ukuran_kamar,ac,kamar_mandi_dalam,wifi,listrik_include,parkir,dapur,laundry,security_24jam,jarak_ke_kampus_km,kampus_terdekat,jarak_ke_transportasi_km,rating,jumlah_kamar,jumlah_review
KOS-0001,Kos Kebayoran Baru 1,Jakarta Selatan,Kebayoran Baru,2350000,Putri,9,1,1,1,0,0,0,1,1,9.7,Binus,4.2,3.8,16,26
KOS-0002,Kos Pesanggrahan 2,Jakarta Selatan,Pesanggrahan,2250000,Putri,12,0,1,0,0,1,0,1,0,0.9,Binus,3.1,4.9,18,13
KOS-0003,Kos Setiabudi 3,Jakarta Selatan,Setiabudi,2250000,Putri,12,0,1,1,0,1,0,1,0,5.4,Binus,2.8,4.7,6,194
KOS-0004,Kos Kebayoran Baru 4,Jakarta Selatan,Kebayoran Baru,2150000,Campur,12,1,1,0,0,0,0,0,0,3.2,UI Depok,2.8,3.6,11,92
KOS-0005,Kos Pancoran 5,Jakarta Selatan,Pancoran,1900000,Putra,18,0,0,1,1,1,1,0,0,6.4,Universitas Pancasila,1.8,4.0,7,108
KOS-0006,Kos Cilandak 6,Jakarta Selatan,Cilandak,2900000,Putri,12,1,1,0,1,1,0,1,1,0.7,Binus,0.7,4.0,8,155
KOS-0007,Kos Jagakarsa 7,Jakarta Selatan,Jagakarsa,3300000,Putri,18,1,1,1,0,0,0,1,1,8.1,Atmajaya,1.1,4.7,29,194
KOS-0008,Kos Pancoran 8,Jakarta Selatan,Pancoran,2350000,Putri,9,0,1,0,0,1,0,0,1,2.8,Binus,1.0,4.1,21,56
KOS-0009,Kos Jagakarsa 9,Jakarta Selatan,Jagakarsa,2950000,Campur,9,1,0,1,0,1,0,0,0,1.9,Universitas Pancasila,2.5,4.5,15,127
KOS-0010,Kos Pancoran 10,Jakarta Selatan,Pancoran,1900000,Putra,9,1,0,1,1,1,0,1,0,6.1,Universitas Pancasila,3.5,3.8,11,165
KOS-0011,Kos Mampang Prapatan 11,Jakarta Selatan,Mampang Prapatan,2300000,Putri,18,1,1,0,0,0,1,1,0,5.8,Universitas Pancasila,2.7,4.8,9,13
KOS-0012,Kos Pesanggrahan 12,Jakarta Selatan,Pesanggrahan,3200000,Campur,15,1,1,1,1,1,1,0,0,0.6,Binus,0.7,3.7,22,58
KOS-0013,Kos Pasar Minggu 13,Jakarta Selatan,Pasar Minggu,2450000,Putri,12,1,0,1,0,1,1,0,1,1.4,Atmajaya,2.0,5.0,17,186
KOS-0014,Kos Mampang Prapatan 14,Jakarta Selatan,Mampang Prapatan,3400000,Putra,15,1,1,1,1,1,0,1,0,2.2,UI Depok,4.7,4.1,13,28
KOS-0015,Kos Pancoran 15,Jakarta Selatan,Pancoran,2250000,Putri,12,1,1,1,0,1,0,0,1,8.5,Binus,4.7,4.5,27,131
KOS-0016,Kos Setiabudi 16,Jakarta Selatan,Setiabudi,3400000,Campur,20,1,1,1,1,1,0,1,1,5.4,Binus,2.6,4.6,20,119
KOS-0017,Kos Jagakarsa 17,Jakarta Selatan,Jagakarsa,2950000,Campur,9,0,1,1,1,1,0,1,1,0.9,Universitas Pancasila,1.7,4.7,16,9
KOS-0018,Kos Jagakarsa 18,Jakarta Selatan,Jagakarsa,2000000,Putra,15,0,0,1,1,1,1,1,1,3.1,Atmajaya,2.3,4.9,27,141
KOS-0019,Kos Kebayoran Lama 19,Jakarta Selatan,Kebayoran Lama,2200000,Putri,15,0,1,1,0,0,0,1,1,4.6,UI Depok,3.7,3.7,26,33
KOS-0020,Kos Kebayoran Lama 20,Jakarta Selatan,Kebayoran Lama,2700000,Putri,15,0,0,1,0,0,1,1,0,1.0,Binus,4.8,3.5,23,100
KOS-0021,Kos Pancoran 21,Jakarta Selatan,Pancoran,3550000,Putri,12,1,1,1,1,1,1,0,1,1.7,Binus,4.1,4.7,12,47
KOS-0022,Kos Tebet 22,Jakarta Selatan,Tebet,2200000,Putri,15,0,1,1,1,1,1,0,0,3.8,Binus,4.7,5.0,8,105
KOS-0023,Kos Pesanggrahan 23,Jakarta Selatan,Pesanggrahan,2500000,Putra,15,1,1,1,0,0,0,1,1,7.5,Binus,1.3,4.2,29,145
KOS-0024,Kos Pasar Minggu 24,Jakarta Selatan,Pasar Minggu,2850000,Putri,12,1,0,1,0,1,1,1,1,3.3,Atmajaya,1.8,4.7,29,113
KOS-0025,Kos Kebayoran Lama 25,Jakarta Selatan,Kebayoran Lama,2900000,Putri,15,1,0,1,0,1,0,0,0,1.5,UI Depok,0.6,4.7,6,33
KOS-0026,Kos Kebayoran Lama 26,Jakarta Selatan,Kebayoran Lama,2300000,Putri,12,0,1,1,1,0,1,0,0,4.1,UI Depok,3.6,4.2,17,130
KOS-0027,Kos Setiabudi 27,Jakarta Selatan,Setiabudi,3450000,Putra,12,1,1,1,1,1,0,0,1,4.6,Binus,4.1,4.0,20,168
KOS-0028,Kos Pasar Minggu 28,Jakarta Selatan,Pasar Minggu,2300000,Putri,20,1,0,0,0,0,1,0,0,9.6,Binus,0.5,4.0,8,140
KOS-0029,Kos Setiabudi 29,Jakarta Selatan,Setiabudi,3150000,Putri,9,0,0,1,0,1,0,0,1,1.8,Binus,0.6,4.4,29,14
KOS-0030,Kos Mampang Prapatan 30,Jakarta Selatan,Mampang Prapatan,2000000,Putri,12,1,1,0,0,1,0,1,0,8.4,Universitas Pancasila,2.9,3.7,25,59
KOS-0031,Kos Cilandak 31,Jakarta Selatan,Cilandak,2650000,Putra,9,1,1,1,1,1,1,1,0,2.9,Universitas Pancasila,1.5,4.6,6,99
KOS-0032,Kos Mampang Prapatan 32,Jakarta Selatan,Mampang Prapatan,2900000,Putri,12,0,1,1,1,1,1,1,0,5.1,Binus,2.2,4.7,11,196
KOS-0033,Kos Tebet 33,Jakarta Selatan,Tebet,2500000,Putri,15,1,1,1,0,1,0,0,1,8.7,Universitas Pancasila,4.8,4.2,24,73
KOS-0034,Kos Tebet 34,Jakarta Selatan,Tebet,2750000,Putri,15,1,0,1,1,1,0,0,1,2.2,UI Depok,3.5,4.3,22,126
KOS-0035,Kos Pasar Minggu 35,Jakarta Selatan,Pasar Minggu,2500000,Putri,12,0,0,1,0,0,0,0,0,7.1,Atmajaya,0.4,3.6,15,52
KOS-0036,Kos Pancoran 36,Jakarta Selatan,Pancoran,2450000,Putri,12,0,1,1,0,0,0,0,1,7.6,Atmajaya,0.4,4.8,18,22
KOS-0037,Kos Setiabudi 37,Jakarta Selatan,Setiabudi,2350000,Putri,9,1,0,0,1,0,0,1,0,3.8,Atmajaya,2.5,4.2,8,38
KOS-0038,Kos Mampang Prapatan 38,Jakarta Selatan,Mampang Prapatan,3000000,Putra,20,1,1,1,0,1,1,0,1,0.6,Atmajaya,1.3,4.8,28,141
KOS-0039,Kos Jagakarsa 39,Jakarta Selatan,Jagakarsa,2450000,Campur,12,0,0,1,1,1,0,1,0,7.4,Universitas Pancasila,4.1,4.2,17,137
KOS-0040,Kos Cilandak 40,Jakarta Selatan,Cilandak,2900000,Putri,20,1,1,0,1,1,1,1,0,3.5,Universitas Pancasila,3.1,4.3,14,134
KOS-0041,Kos Mampang Prapatan 41,Jakarta Selatan,Mampang Prapatan,3050000,Campur,18,1,0,1,1,1,0,0,0,9.7,UI Depok,0.8,3.8,7,44
KOS-0042,Kos Cilandak 42,Jakarta Selatan,Cilandak,3050000,Putri,20,0,1,1,1,1,1,0,0,3.5,UI Depok,3.0,4.6,23,170
KOS-0043,Kos Pancoran 43,Jakarta Selatan,Pancoran,2750000,Putra,20,1,1,1,1,1,0,1,1,6.5,Binus,1.8,4.4,24,159
KOS-0044,Kos Kebayoran Baru 44,Jakarta Selatan,Kebayoran Baru,2850000,Putri,9,1,1,1,1,0,0,1,1,5.6,UI Depok,2.0,4.3,12,161
KOS-0045,Kos Kebayoran Baru 45,Jakarta Selatan,Kebayoran Baru,3200000,Campur,12,1,1,1,1,1,0,0,0,4.3,UI Depok,2.4,4.4,22,115
KOS-0046,Kos Mampang Prapatan 46,Jakarta Selatan,Mampang Prapatan,3300000,Putri,12,1,1,1,1,1,1,0,1,7.5,Binus,4.7,3.7,25,114
KOS-0047,Kos Kebayoran Baru 47,Jakarta Selatan,Kebayoran Baru,2700000,Campur,9,0,1,1,1,1,0,0,0,3.7,Atmajaya,2.1,4.0,22,166
KOS-0048,Kos Pancoran 48,Jakarta Selatan,Pancoran,2550000,Putri,9,1,0,1,0,1,0,0,0,2.6,Binus,1.2,4.2,24,90
KOS-0049,Kos Mampang Prapatan 49,Jakarta Selatan,Mampang Prapatan,2900000,Putra,12,1,1,0,1,0,1,0,0,5.9,Binus,0.5,4.3,21,170
KOS-0050,Kos Pasar Minggu 50,Jakarta Selatan,Pasar Minggu,1750000,Putra,9,0,0,1,1,1,0,0,1,7.3,Binus,3.4,3.8,12,71
KOS-0051,Kos Pasar Minggu 51,Jakarta Selatan,Pasar Minggu,1850000,Putri,9,1,0,0,0,1,1,1,0,3.3,Universitas Pancasila,4.5,3.8,23,129
KOS-0052,Kos Pasar Minggu 52,Jakarta Selatan,Pasar Minggu,2850000,Putra,15,1,1,1,1,1,0,0,1,4.4,Universitas Pancasila,2.8,4.9,26,28
KOS-0053,Kos Pancoran 53,Jakarta Selatan,Pancoran,3700000,Putri,9,1,1,1,1,1,0,0,1,1.8,UI Depok,4.2,3.8,27,79
KOS-0054,Kos Cilandak 54,Jakarta Selatan,Cilandak,2350000,Putra,9,1,0,1,0,1,1,1,0,9.1,Binus,4.4,4.5,11,177
KOS-0055,Kos Pancoran 55,Jakarta Selatan,Pancoran,2600000,Putra,12,1,0,1,0,0,1,0,1,3.2,Atmajaya,1.9,4.3,6,115
